Mozambique,"Gross domestic product per capita, current prices","1,301.69"
Mozambique,Unemployment rate,
Myanmar,"Gross domestic product per capita, current prices","5,041.75"
Myanmar,Unemployment rate,
Namibia,"Gross domestic product per capita, current prices","10,279.14"
Namibia,Unemployment rate,
Nauru,"Gross domestic product per capita, current prices","9,858.46"
Nauru,Unemployment rate,
Nepal,"Gross domestic product per capita, current prices","3,581.08"
Nepal,Unemployment rate,
Netherlands,"Gross domestic product per capita, current prices","59,693.37"
Netherlands,Unemployment rate,3.39
New Zealand,"Gross domestic product per capita, current prices","43,809.04"
New Zealand,Unemployment rate,4.075
Nicaragua,"Gross domestic product per capita, current prices","5,651.15"
Nicaragua,Unemployment rate,6.127
Niger,"Gross domestic product per capita, current prices","1,276.30"
Niger,Unemployment rate,
Nigeria,"Gross domestic product per capita, current prices","5,352.67"
Nigeria,Unemployment rate,n/a
North Macedonia,"Gross domestic product per capita, current prices","17,313.01"
North Macedonia,Unemployment rate,17.25
Norway,"Gross domestic product per capita, current prices","66,214.05"
Norway,Unemployment rate,3.728
Oman,"Gross domestic product per capita, current prices","33,748.98"
Oman,Unemployment rate,
Pakistan,"Gross domestic product per capita, current prices","5,203.81"
Pakistan,Unemployment rate,4.08
Palau,"Gross domestic product per capita, current prices","15,915.60"
Palau,Unemployment rate,
Panama,"Gross domestic product per capita, current prices","33,003.92"
Panama,Unemployment rate,7.07
Papua New Guinea,"Gross domestic product per capita, current prices","4,018.15"
Papua New Guinea,Unemployment rate,
Paraguay,"Gross domestic product per capita, current prices","13,021.82"
Paraguay,Unemployment rate,6.086
Peru,"Gross domestic product per capita, current prices","13,327.30"
Peru,Unemployment rate,6.6
Philippines,"Gross domestic product per capita, current prices","9,356.44"
Philippines,Unemployment rate,5.075
Poland,"Gross domestic product per capita, current prices","34,483.87"
Poland,Unemployment rate,3.279
Portugal,"Gross domestic product per capita, current prices","36,246.02"
Portugal,Unemployment rate,6.463
Puerto Rico,"Gross domestic product per capita, current prices","36,749.67"
Puerto Rico,Unemployment rate,8.3
Qatar,"Gross domestic product per capita, current prices","95,107.74"
Qatar,Unemployment rate,
Romania,"Gross domestic product per capita, current prices","31,218.02"
Romania,Unemployment rate,3.912
Russia,"Gross domestic product per capita, current prices","28,184.12"
Russia,Unemployment rate,4.6
Rwanda,"Gross domestic product per capita, current prices","2,362.73"
Rwanda,Unemployment rate,
Samoa,"Gross domestic product per capita, current prices","5,808.64"
Samoa,Unemployment rate,
San Marino,"Gross domestic product per capita, current prices","63,133.00"
San Marino,Unemployment rate,7.66
S„o TomÈ and PrÌncipe,"Gross domestic product per capita, current prices","4,141.43"
S„o TomÈ and PrÌncipe,Unemployment rate,n/a
Saudi Arabia,"Gross domestic product per capita, current prices","49,216.19"
Saudi Arabia,Unemployment rate,5.625
Senegal,"Gross domestic product per capita, current prices","3,535.96"
